identifiant_interne,libelle,nom_court,sigle,type_detablissement,secteur_detablissement,vague_contractuelle,localisation,site_internet,geolocalisation,uai_identifiant,siret,siren,identifiant_wikidata,element_wikidata,identifiant_idref,identifiant_eter,identifiant_ror,element_ror,identifiant_isni,element_isni,date_creation,code_commune,commune,code_unite_urbaine,unite_urbaine,code_departement,departement,code_academie,academie,code_region,region,ancien_code_region,ancienne_region,adresse,code_postal,localite,pays,numero_de_telephone,statut_juridique_court,statut_juridique,compte_facebook,compte_twitter,compte_instagram,compte_linkedin,compte_youtube,scanr,article,champ_recherche,commune_std
JKHTU,INSTITUT NATIONAL DU SERVICE PUBLIC,,INSP,ECOLE,PUBLIC,,GRAND EST>STRASBOURG>BAS RHIN>STRASBOURG,HTTPS://INSP.GOUV.FR/,"48.581336, 7.737568",0753463G 0672678X,19753463900020.0,197534639.0,Q109039648,Https://www.wikidata.org/entity/q109039648,259062340,,02NWRWA70,HTTPS://ROR.ORG/02NWRWA70,,,2021 12 03,67482.0,STRASBOURG,UU67701,STRASBOURG,D067,BAS RHIN,A15,STRASBOURG,R44,GRAND EST,R42,ALSACE,1 RUE SAINTE MARGUERITE,67000,STRASBOURG,FRANCE,33388214444.0,EPA,Etablissement public national a caractere administratif,HTTPS://WWW.FACEBOOK.COM/INSP.GOUV.FR,HTTPS://TWITTER.COM/INSP_FR,,Https://www.linkedin.com/school/insp institut national du service public/,Https://www.youtube.com/channel/ucfaf0xjctdygkoep_4mk7gg/,,,INSTITUT NATIONAL DU SERVICE PUBLIC INSP,67482.0
ZHVR4,Ecole nationale superieure des arts et techniques du theatre,,ENSATT,ECOLE,PUBLIC,VAGUE A,Auvergne rhone alpes>lyon>rhone>lyon>lyon 5e,HTTP://WWW.ENSATT.FR/,"45.75331, 4.81132",0693735K,19750773400022.0,197507734.0,Q3578242,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3578242,154402680,,01RVV0733,HTTPS://ROR.ORG/01RVV0733,0000 0000 8751 5007,HTTP://WWW.ISNI.ORG/0000 0000 8751 5007,1941 04 15,69385.0,LYON 5E,UU00760,LYON,D069,RHONE,A10,LYON,R84,AUVERGNE RHONE ALPES,R82,RHONE ALPES,4 RUE SŒUR BOUVIER,69322,LYON CEDEX 05,FRANCE,33478150505.0,EPA,Etablissement public national a caractere administratif,HTTPS://WWW.FACEBOOK.COM/ENSATT.LYON/,HTTPS://TWITTER.COM/ENSATT,HTTPS://WWW.INSTAGRAM.COM/ENSATT_LYON/,,,,A L,Ecole nationale superieure des arts et techniques du theatre national school of arts and techniques of theater ensatt,69385.0
OZUAY,Ecole superieure d ingenieurs en genie electrique,ESIGELEC,,ECOLE,PRIVE,VAGUE B,Normandie>seine maritime>rouen>saint etienne du rouvray,HTTPS://WWW.ESIGELEC.FR/FR,"49.38364, 1.07715",0762378X,41370111100028.0,413701111.0,Q17672767,Https://www.wikidata.org/entity/q17672767,030646480,FR0219,01APWKD48,HTTPS://ROR.ORG/01APWKD48,0000 0001 2177 584X,HTTP://WWW.ISNI.ORG/0000 0001 2177 584X,1901,76575.0,SAINT ETIENNE DU ROUVRAY,UU00755,ROUEN,D076,SEINE MARITIME,A70,NORMANDIE,R28,NORMANDIE,R23,HAUTE NORMANDIE,AVENUE GALILEE,76801,SAINT ETIENNE DU ROUVRAY,FRANCE,33232915858.0,ASSOCIATION LOI DE 1901,ASSOCIATION LOI DE 1901,HTTPS://FR FR.FACEBOOK.COM/PAGE.ESIGELEC,HTTPS://TWITTER.COM/GROUPEESIGELEC,,,Https://www.youtube.com/user/esigelecirseem,Https://scanr.enseignementsup recherche.gouv.fr/entite/413701111,A L,Ecole superieure d ingenieurs en genie electrique esigelec,76575.0
6MWS3,Institut superieur d agriculture de lille,ISA LILLE,,ECOLE,PRIVE,VAGUE E,HAUTS DE FRANCE>LILLE>NORD>LILLE,HTTP://WWW.ISA LILLE.FR/,"50.63380812638809, 3.046694397926331",0590343C,78370700300043.0,783707003.0,Q3117452,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3117452,027994716,FR0117,02EVEC030,HTTPS://ROR.ORG/02EVEC030,,,1963 01 01,59350.0,LILLE,UU59702,LILLE,D059,NORD,A09,LILLE,R32,HAUTS DE FRANCE,R31,NORD PAS DE CALAIS,48 BOULEVARD VAUBAN,59046,LILLE CEDEX,FRANCE,33328384848.0,Sans personnalite juridique secteur prive,Sans personnalite juridique secteur prive,HTTPS://FR FR.FACEBOOK.COM/GROUPEISA,HTTPS://TWITTER.COM/ISA_LILLE,HTTPS://INSTAGRAM.COM/ISA_LILLE/,Https://www.linkedin.com/company/isa lille,Https://www.youtube.com/user/groupeisalille,,DANS LE,Institut superieur d agriculture de lille isa lille,59350.0
64DYL,INSTITUT CATHOLIQUE DE TOULOUSE,,ICT,ECOLE,PRIVE,,Occitanie>toulouse>haute garonne>toulouse,HTTPS://WWW.ICT TOULOUSE.FR/,"43.59529, 1.44233",0310155A,77694410000010.0,776944100.0,Q1479987,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q1479987,029613043,FR0035,00S4CVE39,HTTPS://ROR.ORG/00S4CVE39,,,1876,31555.0,TOULOUSE,UU00758,TOULOUSE,D031,HAUTE GARONNE,A16,TOULOUSE,R76,OCCITANIE,R73,MIDI PYRENEES,31 RUE DE LA FONDERIE,31068,TOULOUSE CEDEX 7,FRANCE,33561368100.0,ASSOCIATION LOI DE 1901,ASSOCIATION LOI DE 1901,HTTPS://WWW.FACEBOOK.COM/LA.CATHO.ICT,HTTPS://TWITTER.COM/ICT_TOULOUSE,Https://www.instagram.com/institut_catholique_toulouse_/,Https://www.linkedin.com/school/institut catholique de toulouse/,Https://www.youtube.com/channel/ucpyzxwene6ghusuiosteoyg,Https://scanr.enseignementsup recherche.gouv.fr/entite/776944100,A L,Institut catholique de toulouse catholic university of toulouse ict,31555.0
AB5Z5,Institut national des sciences appliquees de strasbourg,INSA DE STRASBOURG,INSA STRASBOURG,ECOLE,PUBLIC,VAGUE C,GRAND EST>STRASBOURG>BAS RHIN>STRASBOURG,HTTPS://WWW.INSA STRASBOURG.FR/FR/,"48.582266, 7.764893",0670190T,19672767100014.0,196727671.0,Q521036,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q521036,076359735,FR0148,001NTA019,HTTPS://ROR.ORG/001NTA019,0000 0004 0640 5519,HTTP://WWW.ISNI.ORG/0000 0004 0640 5519,2003 03 05,67482.0,STRASBOURG,UU67701,STRASBOURG,D067,BAS RHIN,A15,STRASBOURG,R44,GRAND EST,R42,ALSACE,24 BOULEVARD DE LA VICTOIRE,67084,STRASBOURG CEDEX,FRANCE,33388144700.0,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",Https://www.facebook.com/pages/insa de strasbourg/132470930161050,HTTPS://TWITTER.COM/INSA_STRASBOURG,,,Https://www.youtube.com/user/insa2strasbourg/feed,Https://scanr.enseignementsup recherche.gouv.fr/entite/196727671,A L,Institut national des sciences appliquees de strasbourg insa de strasbourg national institute for applied sciences of strasbourg insa strasbourg,67482.0
NLCOF,UNIVERSITE DE CORSE PASQUALE PAOLI,UNIVERSITE CORSE,,UNIVERSITE,PUBLIC,VAGUE C,CORSE>HAUTE CORSE>CORTE,HTTPS://WWW.UNIVERSITA.CORSICA/FR/,"42.30048, 9.15328",7200664J,19202664900264.19,192026649.0,Q335841,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q335841,029473284,FR0281,050RA0N32,HTTPS://ROR.ORG/050RA0N32,0000 0001 2177 0037,HTTP://WWW.ISNI.ORG/0000 0001 2177 0037,1975 12 01,,CORTE,UU2B202,CORTE,D02B,HAUTE CORSE,A27,CORSE,R94,CORSE,R94,CORSE,AVENUE DU 9 SEPTEMBRE,20250,CORTE,FRANCE,,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",HTTPS://WWW.FACEBOOK.COM/UNIVCORSE,HTTPS://TWITTER.COM/UNIVCORSE,HTTPS://WWW.INSTAGRAM.COM/UNIVCORSE/,,HTTPS://WWW.YOUTUBE.COM/C/UNIVCORSE,Https://scanr.enseignementsup recherche.gouv.fr/entite/192026649,A L,Universite de corse universite de corse pasquale paoli universite corse university of corsica pasquale paoli,
HQ9DM,Ecole nationale superieure de creation industrielle les ateliers,ENSCI LES ATELIERS,,ECOLE,PUBLIC,,ILE DE FRANCE>PARIS>PARIS 8E,Https://www.ensci.com/2017 2018 ensci les ateliers/,"48.8584, 2.36934",0754585B,33111876000015.0,331118760.0,Q870925,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q870925,026578603,FR0211,056ATNC19,HTTPS://ROR.ORG/056ATNC19,0000 0001 2203 4373,HTTP://WWW.ISNI.ORG/0000 0001 2203 4373,1982 11 08,75108.0,PARIS 8E,UU00851,PARIS,D075,PARIS,A01,PARIS,R11,ILE DE FRANCE,R11,ILE DE FRANCE,48 RUE SAINT SABIN,75011,PARIS,FRANCE,,Etablissement public national a caractere industriel ou commercial dote d un comptable public,Etablissement public national a caractere industriel ou commercial dote d un comptable public,Https://www.facebook.com/enscilesateliers/,,Https://www.instagram.com/ensci_les_ateliers_paris/,HTTPS://FR.LINKEDIN.COM/SCHOOL/ENSCI/,Https://www.youtube.com/channel/ucyiskhrq7r_fgmugnu7yhtq,,A L,Ecole nationale superieure de creation industrielle les ateliers ensci les ateliers,75108.0
RNID8,Ecole nationale superieure des arts decoratifs,ENSAD PARIS,,ECOLE,PUBLIC,,ILE DE FRANCE>PARIS>PARIS 5E,HTTPS://WWW.ENSAD.FR/,"48.84278, 2.34466",0753470P,19753470400014.0,197534704.0,Q1135990,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q1135990,026375214,FR0192,05XSXN838,HTTPS://ROR.ORG/05XSXN838,0000 0001 2153 8094,HTTP://WWW.ISNI.ORG/0000 0001 2153 8094,,75105.0,PARIS 5E,UU00851,PARIS,D075,PARIS,A01,PARIS,R11,ILE DE FRANCE,R11,ILE DE FRANCE,31 RUE D ULM,75240,PARIS CEDEX 05,FRANCE,,Autre etablissement public national d enseignement,Autre etablissement public national d enseignement,HTTPS://WWW.FACEBOOK.COM/ENSAD75,HTTPS://TWITTER.COM/ECOLE_ARTSDECO,HTTPS://WWW.INSTAGRAM.COM/ENSADPARIS/,,,,A L,Ecole nationale superieure des arts decoratifs ensad paris,75105.0
MFZJS,ESIEE PARIS,,,ECOLE,PRIVE,VAGUE E,Ile de france>creteil>seine saint denis>paris>noisy le grand,HTTPS://WWW.ESIEE.FR/,"48.83999, 2.58392",0932019P,13001727000146.0,130017270.0,Q3046118,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3046118,029643724,FR0264,04X383A88,HTTPS://ROR.ORG/04X383A88,0000 0004 0373 7614,HTTP://WWW.ISNI.ORG/0000 0004 0373 7614,1968 03 01,93051.0,NOISY LE GRAND,UU00851,PARIS,D093,SEINE SAINT DENIS,A24,CRETEIL,R11,ILE DE FRANCE,R11,ILE DE FRANCE,2 BOULEVARD BLAISE PASCAL,93162,NOISY LE GRAND CEDEX,FRANCE,33145926500.0,Sans personnalite juridique secteur prive,Sans personnalite juridique secteur prive,HTTPS://WWW.FACEBOOK.COM/ESIEEPARIS,HTTPS://TWITTER.COM/ESIEEPARIS,HTTPS://WWW.INSTAGRAM.COM/ESIEEPARIS/,Https://www.linkedin.com/edu/school?id=20041&trk=tyah&trkinfo=idx 3a4 1 4 2ctarid 3a1425998561386 2ctas 3aesiee+paris,HTTPS://WWW.YOUTUBE.COM/USER/ESIEEPARIS,,A L,Esiee cci paris ile de france education esiee paris,93051.0
90I54,UNIVERSITE DE BORDEAUX,UBX,,UNIVERSITE,PUBLIC,VAGUE B,Nouvelle aquitaine>bordeaux>gironde>bordeaux>talence,HTTPS://WWW.U BORDEAUX.FR/,"44.809966, 0.596578",0333298F,13001835100010.0,130018351.0,Q13344,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q13344,175206562,FR0288,057QPR032,HTTPS://ROR.ORG/057QPR032,0000 0001 2106 639X,HTTP://WWW.ISNI.ORG/0000 0001 2106 639X,2014 01 01,33522.0,TALENCE,UU33701,BORDEAUX,D033,GIRONDE,A04,BORDEAUX,R75,NOUVELLE AQUITAINE,R72,AQUITAINE,351 COURS DE LA LIBERATION,33405,TALENCE CEDEX,FRANCE,33540006000.0,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",HTTPS://WWW.FACEBOOK.COM/UNIVBORDEAUX,HTTPS://TWITTER.COM/UNIVBORDEAUX,Https://www.instagram.com/universitedebordeaux/,Https://www.linkedin.com/school/universite de bordeaux/,HTTPS://WWW.YOUTUBE.COM/USER/UBORDEAUX,Https://scanr.enseignementsup recherche.gouv.fr/entite/130018351,A L,Universite de bordeaux ubx university of bordeaux,33522.0
QUCQP,NANTES UNIVERSITE,,NU,UNIVERSITE,PUBLIC,VAGUE B,Pays de la loire>nantes>loire atlantique>nantes,HTTPS://WWW.UNIV NANTES.FR/,"47.209413, 1.555908",0442953W,13002974700016.0,130029747.0,Q259388,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q259388,258086599,,03GNR7B55,HTTPS://ROR.ORG/03GNR7B55,,,2021 10 04,44109.0,NANTES,UU44701,NANTES,D044,LOIRE ATLANTIQUE,A17,NANTES,R52,PAYS DE LA LOIRE,R52,PAYS DE LA LOIRE,1 QUAI DE TOURVILLE,44000,NANTES,FRANCE,,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",HTTPS://WWW.FACEBOOK.COM/NANTESUNIV/,HTTPS://TWITTER.COM/NANTESUNIV,,Https://www.linkedin.com/school/nantes universite/,HTTPS://WWW.YOUTUBE.COM/C/UNIVNANTES,,A,Nantes universite university of nantes nu,44109.0
RS4WF,CY CERGY PARIS UNIVERSITE,,CYU,UNIVERSITE,PUBLIC,VAGUE E,Ile de france>versailles>val d oise>paris>cergy,HTTPS://WWW.CYU.FR/,"49.03889, 2.07415",0952259P,13002597600015.0,130025976.0,Q74452784,Https://www.wikidata.org/entity/q74452784,241871808,FR0366,043HTJV09,HTTPS://ROR.ORG/043HTJV09,,,2019 11 01,95127.0,CERGY,UU00851,PARIS,D095,VAL D OISE,A25,VERSAILLES,R11,ILE DE FRANCE,R11,ILE DE FRANCE,33 BOULEVARD DU PORT,95011,CERGY PONTOISE CEDEX,FRANCE,33134256000.0,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",Https://www.facebook.com/cycergyparisuniversite/,HTTPS://TWITTER.COM/UNIVERSITECERGY,HTTPS://WWW.INSTAGRAM.COM/CY_UNIV/,Https://www.linkedin.com/school/cycergyparisuniversit c3 a9/,,Https://scanr.enseignementsup recherche.gouv.fr/entite/130025976,A,Cy cergy paris universite cy cergy paris university cyu,95127.0
HJTSP,ECOLE SUPERIEURE DE FONDERIE ET DE FORGE,ESFF,,ECOLE,PRIVE,VAGUE E,Ile de france>versailles>hauts de seine>paris>sevres,HTTP://WWW.ESFF.FR/,"48.822532, 2.224391",0920672F,77568801300041.0,775688013.0,Q3578445,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3578445,,,,,,,1923 01 01,92072.0,SEVRES,UU00851,PARIS,D092,HAUTS DE SEINE,A25,VERSAILLES,R11,ILE DE FRANCE,R11,ILE DE FRANCE,44 AVENUE DE LA DIVISION LECLERC,92310,SEVRES,FRANCE,,ASSOCIATION LOI DE 1901,ASSOCIATION LOI DE 1901,Https://www.facebook.com/esff.france/?ref=hl,HTTPS://TWITTER.COM/SUPDEUXF,,HTTPS://WWW.LINKEDIN.COM/COMPANY/ESFF/,,,A L,Ecole superieure de fonderie et de forge esff,92072.0
EHI5C,EPF ECOLE D INGENIEURS,EPF,,ECOLE,PRIVE,VAGUE E,Ile de france>creteil>val de marne>paris>cachan,HTTP://WWW.EPF.FR/,"48.79218, 2.329213",0942500G 0920674H,39110158100067.39,391101581.0,Q3046044,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3046044,09560846X,FR0253,03DG0F179,HTTPS://ROR.ORG/03DG0F179,,,1925,94016.0,CACHAN,UU00851,PARIS,D094,VAL DE MARNE,A24,CRETEIL,R11,ILE DE FRANCE,R11,ILE DE FRANCE,55 AVENUE DU PRESIDENT WILSON,94230,CACHAN,FRANCE,,FONDATION,FONDATION,,,,,,,A L,Ecole polytechnique feminine institut electromecanique feminin epf ecole d ingenieurs epf ief,94016.0
73OAZ,JUNIA,,,ECOLE,PRIVE,VAGUE E,HAUTS DE FRANCE>LILLE>NORD>LILLE,HTTPS://WWW.JUNIA.COM/,"50.63385, 3.04665",0597165T,78370700300035.0,783707003.0,,,,,02EVEC030,HTTPS://ROR.ORG/02EVEC030,,,2013,59350.0,LILLE,UU59702,LILLE,D059,NORD,A09,LILLE,R32,HAUTS DE FRANCE,R31,NORD PAS DE CALAIS,2 RUE NORBERT SEGARD,59046,LILLE,FRANCE,33328384858.0,ASSOCIATION LOI DE 1901,ASSOCIATION LOI DE 1901,HTTPS://WWW.FACEBOOK.COM/YNCREAHDF/,HTTPS://TWITTER.COM/JUNIA_INGENIEUR,HTTPS://WWW.INSTAGRAM.COM/ADICODEANDCO/,,Https://www.youtube.com/channel/ucmuakrcftlybqkkxl4 febw,,A,Isen isa hei yncrea hauts de france junia,59350.0
1TI7C,CENTRALE MEDITERRANEE,,,ECOLE,PUBLIC,VAGUE C,Provence alpes cote d azur>aix marseille>bouches du rhone>marseille aix en provence>marseille 13e,HTTPS://WWW.CENTRALE MEDITERRANEE.FR/FR,"43.34136, 5.43829",0133774G,19133340000015.0,191333400.0,Q273454,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q273454,163078998,FR0006,040BAW385,HTTPS://ROR.ORG/040BAW385,0000 0004 1762 2703,HTTP://WWW.ISNI.ORG/0000 0004 1762 2703,2003 10 02,13213.0,MARSEILLE 13E,UU00759,MARSEILLE AIX EN PROVENCE,D013,BOUCHES DU RHONE,A02,AIX MARSEILLE,R93,PROVENCE ALPES COTE D AZUR,R93,PROVENCE ALPES COTE D AZUR,38 RUE FREDERIC JOLIOT CURIE,13451,MARSEILLE CEDEX 13,FRANCE,33491282898.0,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",Https://www.facebook.com/centralemediterranee,HTTPS://TWITTER.COM/CENTRALE_MED,HTTPS://WWW.INSTAGRAM.COM/CENTRALEMED/,Https://www.linkedin.com/school/centralemediterranee/,Https://www.youtube.com/user/centralemarseille,Https://scanr.enseignementsup recherche.gouv.fr/entite/191333400,A,Ecole centrale de marseille ecole generaliste d ingenieurs de marseille centrale mediterranee centrale marseille ecm egim,13213.0
B8Q5V,ECOLE NATIONALE DE LA METEOROLOGIE,ENM,,ECOLE,PUBLIC,VAGUE A,Occitanie>toulouse>haute garonne>toulouse,HTTP://WWW.ENM.METEO.FR/,"43.57598, 1.37422",0312069F,18006003000400.0,180060030.0,Q3578126,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3578126,087863987,,01BN93E28,HTTPS://ROR.ORG/01BN93E28,0000 0004 1762 3036,HTTP://WWW.ISNI.ORG/0000 0004 1762 3036,1948,31555.0,TOULOUSE,UU00758,TOULOUSE,D031,HAUTE GARONNE,A16,TOULOUSE,R76,OCCITANIE,R73,MIDI PYRENEES,42 AVENUE GASPARD CORIOLIS,31057,TOULOUSE CEDEX 1,FRANCE,,EPA,Etablissement public national a caractere administratif,,,,,,,A L,Ecole de la meteorologie ecole nationale de la meteorologie enm,31555.0
CSUHZ,Ecole nationale superieure d’architecture de versailles,ENSA V,,ECOLE,PUBLIC,,Ile de france>versailles>yvelines>paris>versailles,HTTP://WWW.VERSAILLES.ARCHI.FR/,"48.8008, 2.12753",0780412Z,19780412300028.0,197804123.0,Q1050988,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q1050988,095785493,FR0227,02PTN8Z56,HTTPS://ROR.ORG/02PTN8Z56,0000 0001 2181 0043,HTTP://WWW.ISNI.ORG/0000 0001 2181 0043,1969,78646.0,VERSAILLES,UU00851,PARIS,D078,YVELINES,A25,VERSAILLES,R11,ILE DE FRANCE,R11,ILE DE FRANCE,5 AVENUE DE SCEAUX,78006,VERSAILLES CEDEX,FRANCE,,Autre etablissement public national d enseignement,Autre etablissement public national d enseignement,HTTPS://WWW.FACEBOOK.COM/ENSAVERSAILLES/,,Https://www.instagram.com/ensav_versailles/,Https://www.linkedin.com/company/ecole nationale superieure d architecture de versailles/,,,A L,Ecole nationale superieure d’architecture de versailles ensa v,78646.0
XX50H,Ecole nationale superieure du petrole et des moteurs,IFP SCHOOL,,ECOLE,PUBLIC,VAGUE E,Ile de france>versailles>hauts de seine>paris>rueil malmaison,HTTPS://WWW.IFP SCHOOL.COM/,"48.877622, 2.172404",0920815L,77572915500124.0,775729155.0,Q2732297,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q2732297,026375303,,011XG5J78,HTTPS://ROR.ORG/011XG5J78,0000 0001 1955 4562,HTTP://WWW.ISNI.ORG/0000 0001 1955 4562,1954 10 13,92063.0,RUEIL MALMAISON,UU00851,PARIS,D092,HAUTS DE SEINE,A25,VERSAILLES,R11,ILE DE FRANCE,R11,ILE DE FRANCE,228 AVENUE NAPOLEON BONAPARTE,92852,RUEIL MALMAISON CEDEX,FRANCE,,Sans personnalite juridique secteur public,Sans personnalite juridique secteur public,Https://www.facebook.com/ifp school 135706763121931/,HTTPS://TWITTER.COM/IFPSCHOOL,,Https://www.linkedin.com/school/ifp school/,HTTPS://WWW.YOUTUBE.COM/USER/IFPSCHOOL,,A L,Ecole nationale superieure du petrole et des moteurs ifp school,92063.0
B2TCC,ONIRIS VETAGROBIO,,,GRAND ETABLISSEMENT,PUBLIC,VAGUE B,Pays de la loire>nantes>loire atlantique>nantes,HTTPS://WWW.ONIRIS NANTES.FR/,"47.28936365193973, 1.5242886543273928",0441916U,13000853500010.0,130008535.0,Q3578268,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3578268,157779092,FR0331,05Q0NCS32,HTTPS://ROR.ORG/05Q0NCS32,0000 0001 2175 3974,HTTP://WWW.ISNI.ORG/0000 0001 2175 3974,2010 01 01,44109.0,NANTES,UU44701,NANTES,D044,LOIRE ATLANTIQUE,A17,NANTES,R52,PAYS DE LA LOIRE,R52,PAYS DE LA LOIRE,101 ROUTE DE GACHET,44307,NANTES CEDEX 03,FRANCE,33240687777.0,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",,,,,,Https://scanr.enseignementsup recherche.gouv.fr/entite/130008535,A,"Ecole nationale veterinaire, agroalimentaire et de l alimentation, nantes atlantique oniris vetagrobio nantes atlantic national college of veterinary medicine, food science and engineering oniris",44109.0
FZMTP,BURGUNDY SCHOOL OF BUSINESS,,BSB,ECOLE,PRIVE,,Bourgogne franche comte>dijon>cote d or>dijon,HTTPS://WWW.BSB EDUCATION.COM/,"47.32806, 5.04142",0210099U,78970477200019.0,789704772.0,Q3578434,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3578434,143858629,,0207FE012,HTTPS://ROR.ORG/0207FE012,,,,21231.0,DIJON,UU21701,DIJON,D021,COTE D OR,A07,DIJON,R27,BOURGOGNE FRANCHE COMTE,R26,BOURGOGNE,29 RUE SAMBIN,21006,DIJON CEDEX,FRANCE,33380725900.0,ASSOCIATION LOI DE 1901,ASSOCIATION LOI DE 1901,HTTPS://WWW.FACEBOOK.COM/BSB.BURGUNDYSB/,HTTPS://TWITTER.COM/BURGUNDYSB,HTTPS://WWW.INSTAGRAM.COM/BURGUNDYSB/,Https://www.linkedin.com/company/burgundy school of business/,Https://www.youtube.com/channel/uc5xdpxnmdpdbbpu51vr_j1a,Https://scanr.enseignementsup recherche.gouv.fr/entite/789704772,A,Ecole superieure de commerce de dijon bourgogne burgundy school of business bsb,21231.0
0347I,Ecole superieure d ingenieurs des travaux de la construction de metz,ESITC DE METZ,ESITC METZ,ECOLE,PRIVE,VAGUE C,GRAND EST>NANCY METZ>MOSELLE>METZ,HTTP://WWW.ESITC METZ.COM/,"49.10042, 6.21616",0573389Z,38901300400012.0,389013004.0,Q3578417,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3578417,,FR0111,00S13Q694,HTTPS://ROR.ORG/00S13Q694,,,1992,57463.0,METZ,UU57701,METZ,D057,MOSELLE,A12,NANCY METZ,R44,GRAND EST,R41,LORRAINE,6 RUE MARCONI,57070,METZ,FRANCE,33387764450.0,"Association de droit local (bas rhin, haut rhin et moselle)","Association de droit local (bas rhin, haut rhin et moselle)",Https://www.facebook.com/esitc.metz.esitc/,,,Https://www.linkedin.com/school/esitc de metz/,,,A L,Ecole superieure d ingenieurs des travaux de la construction de metz esitc de metz esitc metz,57463.0
KHS4B,Ecole superieure d ingenieurs des travaux de la construction de paris,ESITC PARIS,ESITC PARIS,ECOLE,PRIVE,VAGUE E,Ile de france>creteil>val de marne>paris>arcueil,HTTPS://WWW.ESITC PARIS.FR/FR,"48.80497, 2.3256",0941954N,39433164900019.39,394331649.0,Q3578412,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3578412,086229834,FR0269,037MK9523,HTTPS://ROR.ORG/037MK9523,,,1992,94003.0,ARCUEIL,UU00851,PARIS,D094,VAL DE MARNE,A24,CRETEIL,R11,ILE DE FRANCE,R11,ILE DE FRANCE,79 AVENUE ARISTIDE BRIAND,94234,ARCUEIL CEDEX,FRANCE,33181801515.0,ASSOCIATION LOI DE 1901,ASSOCIATION LOI DE 1901,HTTPS://WWW.FACEBOOK.COM/ESITCPARIS/,HTTPS://TWITTER.COM/ESITCPARIS,,Https://www.linkedin.com/school/16269712/,,,A L,Ecole superieure des travaux publics de cachan ecole superieure d ingenieurs des travaux de la construction de cachan ecole superieure d ingenieurs des travaux de la construction de paris estp de cachan esitc de cachan esitc paris estp cachan esitc cachan,94003.0
XRH6D,INSTITUT CATHOLIQUE DE VENDEE,ICES,ICES,ECOLE,PRIVE,,Pays de la loire>nantes>vendee>la roche sur yon,HTTPS://ICES.FR/,"46.67251, 1.41955",0851415B,37920430800033.0,379204308.0,Q3151861,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3151861,031034098,FR0237,02TQMHD47,HTTPS://ROR.ORG/02TQMHD47,0000 0001 2097 2067,HTTP://WWW.ISNI.ORG/0000 0001 2097 2067,1990 01 01,85191.0,LA ROCHE SUR YON,UU85501,LA ROCHE SUR YON,D085,VENDEE,A17,NANTES,R52,PAYS DE LA LOIRE,R52,PAYS DE LA LOIRE,17 BOULEVARD DES BELGES,85017,LA ROCHE SUR YON CEDEX,FRANCE,33251461213.0,ASSOCIATION LOI DE 1901,ASSOCIATION LOI DE 1901,HTTPS://WWW.FACEBOOK.COM/ICES.UNIVCATHO/,HTTPS://TWITTER.COM/ICES_UNIVCATHO,Https://www.instagram.com/ices_univcatho/,Https://www.linkedin.com/school/institut catholique d c3 a9tudes sup c3 a9rieures/,Https://www.youtube.com/user/webmasterices,,A L,Institut catholique de vendee institut catholique d etudes superieures ices ices vendee catholic university catholic institute of higher studies,85191.0
