identifiant_interne,libelle,nom_court,sigle,type_detablissement,secteur_detablissement,vague_contractuelle,localisation,site_internet,geolocalisation,uai_identifiant,siret,siren,identifiant_wikidata,element_wikidata,identifiant_idref,identifiant_eter,identifiant_ror,element_ror,identifiant_isni,element_isni,date_creation,code_commune,commune,code_unite_urbaine,unite_urbaine,code_departement,departement,code_academie,academie,code_region,region,ancien_code_region,ancienne_region,adresse,code_postal,localite,pays,numero_de_telephone,statut_juridique_court,statut_juridique,compte_facebook,compte_twitter,compte_instagram,compte_linkedin,compte_youtube,scanr,article,champ_recherche,commune_std
ATBEK,LA ROCHELLE UNIVERSITE,UNIVERSITE LA ROCHELLE,,UNIVERSITE,PUBLIC,VAGUE B,Nouvelle aquitaine>poitiers>charente maritime>la rochelle,HTTPS://WWW.UNIV LAROCHELLE.FR/,"46.14774, 1.15504",0171463Y,19170032700015.0,191700327.0,Q1500822,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q1500822,035375043,FR0014,04MV1Z119,HTTPS://ROR.ORG/04MV1Z119,0000 0001 2169 7335,HTTP://WWW.ISNI.ORG/0000 0001 2169 7335,1993 01 22,17300.0,LA ROCHELLE,UU17601,LA ROCHELLE,D017,CHARENTE MARITIME,A13,POITIERS,R75,NOUVELLE AQUITAINE,R54,POITOU CHARENTES,23 AVENUE ALBERT EINSTEIN,17031,LA ROCHELLE,FRANCE,33546459114.0,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",Https://www.facebook.com/larochelleuniversite/,HTTPS://TWITTER.COM/UNIVLAROCHELLE,Https://www.instagram.com/univlarochelle/,Https://www.linkedin.com/school/la rochelle universite/,Https://www.youtube.com/channel/uc cf7z00cbodh9qc8i7shxa,Https://scanr.enseignementsup recherche.gouv.fr/entite/191700327,A L,Universite de la rochelle la rochelle universite universite la rochelle la rochelle university,17300.0
9XLEL,LE MANS UNIVERSITE,,LMU,UNIVERSITE,PUBLIC,VAGUE B,PAYS DE LA LOIRE>NANTES>SARTHE>LE MANS,HTTP://WWW.UNIV LEMANS.FR/,"48.0148, 0.159251",0720916E,19720916600010.0,197209166.0,Q834825,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q834825,026404435,FR0169,01MTCC283,HTTPS://ROR.ORG/01MTCC283,0000 0001 2172 3046,HTTP://WWW.ISNI.ORG/0000 0001 2172 3046,1977 10 01,72181.0,LE MANS,UU72701,LE MANS,D072,SARTHE,A17,NANTES,R52,PAYS DE LA LOIRE,R52,PAYS DE LA LOIRE,AVENUE OLIVIER MESSIAEN,72085,LE MANS CEDEX 9,FRANCE,33243833000.0,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",Https://www.facebook.com/lemansuniversite/,HTTPS://TWITTER.COM/LEMANSUNIV,Https://www.instagram.com/lemansuniversite/,Https://www.linkedin.com/school/universit c3 a9 du maine le mans laval/,Https://www.youtube.com/channel/ucgcq5rw44i0xeig4pns69pg,Https://scanr.enseignementsup recherche.gouv.fr/entite/197209166,A,Universite du mans le mans universite le mans university lmu,72181.0
P25Q3,UNIVERSITE DE CAEN NORMANDIE,UNICAEN,UNICAEN,UNIVERSITE,PUBLIC,VAGUE B,NORMANDIE>CALVADOS>CAEN,HTTP://WWW.UNICAEN.FR/,"49.18884, 0.36382",0141408E,19141408500016.0,191414085.0,Q568554,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q568554,026403064,FR0008,051KPCY16,HTTPS://ROR.ORG/051KPCY16,0000 0001 2186 4076,HTTP://WWW.ISNI.ORG/0000 0001 2186 4076,1971 01 01,14118.0,CAEN,UU14701,CAEN,D014,CALVADOS,A70,NORMANDIE,R28,NORMANDIE,R25,BASSE NORMANDIE,ESPLANADE DE LA PAIX,14032,CAEN CEDEX 5,FRANCE,33231565500.0,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",HTTPS://WWW.FACEBOOK.COM/UNICAEN,HTTPS://TWITTER.COM/UNIVERSITE_CAEN,Https://www.instagram.com/universitecaen/,Https://www.linkedin.com/school/universite de caen normandie/,Https://www.youtube.com/user/universitecaen,Https://scanr.enseignementsup recherche.gouv.fr/entite/191414085,A L,Universite de caen universite de caen normandie unicaen university of caen normandy,14118.0
N1W55,UNIVERSITE DE PERPIGNAN VIA DOMITIA,,UPVD,UNIVERSITE,PUBLIC,VAGUE A,Occitanie>montpellier>pyrenees orientales>perpignan,HTTPS://WWW.UNIV PERP.FR/,"42.6844, 2.89854",0660437S,19660437500010.0,196604375.0,Q304872,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q304872,026403692,FR0144,03AM2JY38,HTTPS://ROR.ORG/03AM2JY38,0000 0001 2192 5916,HTTP://WWW.ISNI.ORG/0000 0001 2192 5916,1979 10 01,66136.0,PERPIGNAN,UU66701,PERPIGNAN,D066,PYRENEES ORIENTALES,A11,MONTPELLIER,R76,OCCITANIE,R91,LANGUEDOC ROUSSILLON,52 AVENUE PAUL ALDUY,66860,PERPIGNAN CEDEX 9,FRANCE,33468662000.0,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",HTTPS://WWW.FACEBOOK.COM/UPVD66/,HTTPS://TWITTER.COM/UPVD1,Https://www.instagram.com/upvd_perpignan/,Https://www.linkedin.com/company/university of perpignan france/,Https://www.youtube.com/user/servicecomupvd,Https://scanr.enseignementsup recherche.gouv.fr/entite/196604375,A L,Universite de perpignan universite de perpignan via domitia university of perpignan via domitia upvd,66136.0
CQKIJ,UNIVERSITE DE TOURS,UNIVERSITE TOURS,,UNIVERSITE,PUBLIC,VAGUE C,Centre val de loire>orleans tours>indre et loire>tours,HTTPS://WWW.UNIV TOURS.FR/,"47.38376, 0.67367",0370800U,19370800500478.0,193708005.0,Q494335,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q494335,026404478,FR0070,02WWZVJ46,HTTPS://ROR.ORG/02WWZVJ46,0000 0001 2182 6141,HTTP://WWW.ISNI.ORG/0000 0001 2182 6141,1971 01 01,37261.0,TOURS,UU37701,TOURS,D037,INDRE ET LOIRE,A18,ORLEANS TOURS,R24,CENTRE VAL DE LOIRE,R24,CENTRE VAL DE LOIRE,60 RUE DU PLAT D ETAIN,37020,TOURS CEDEX 1,FRANCE,33247366600.0,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",HTTPS://WWW.FACEBOOK.COM/UNIV.TOURS/,HTTPS://TWITTER.COM/UNIVTOURS,HTTPS://WWW.INSTAGRAM.COM/UNIVTOURS/,Https://www.linkedin.com/school/universite de tours/,HTTPS://WWW.YOUTUBE.COM/USER/UNIVTOURS,Https://scanr.enseignementsup recherche.gouv.fr/entite/193708005,A L,Universite de tours universite tours tours university,37261.0
G2QA7,UNIVERSITE PARIS SACLAY,,,UNIVERSITE,PUBLIC,VAGUE E,Ile de france>versailles>essonne>paris>gif sur yvette,HTTPS://WWW.UNIVERSITE PARIS SACLAY.FR/,"48.709629, 2.170077",0912408Y,13002602400013.13,130026024.0,Q109409389,Https://www.wikidata.org/entity/q109409389,241345251,FR0369,03XJWB503,HTTPS://ROR.ORG/03XJWB503,0000 0004 4910 6535,HTTP://WWW.ISNI.ORG/0000 0004 4910 6535,2019 11 07,91272.0,GIF SUR YVETTE,UU00851,PARIS,D091,ESSONNE,A25,VERSAILLES,R11,ILE DE FRANCE,R11,ILE DE FRANCE,3 RUE JOLIOT CURIE,91190,GIF SUR YVETTE,FRANCE,,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",HTTPS://WWW.FACEBOOK.COM/UPARISSACLAY,HTTPS://TWITTER.COM/UNIVPARISSACLAY,Https://www.instagram.com/universite_paris_saclay/,Https://www.linkedin.com/school/universit c3 a9 paris saclay/,Https://www.youtube.com/channel/ucmxywurijeuqj4ermmlaaag,Https://scanr.enseignementsup recherche.gouv.fr/entite/130026024,A L,Universite paris saclay paris saclay university,91272.0
NIKMZ,Ecole des hautes etudes commerciales du nord,EDHEC,,ECOLE,PRIVE,,HAUTS DE FRANCE>LILLE>NORD>LILLE>ROUBAIX,HTTP://WWW.EDHEC.COM/,"50.67306, 3.16605",0590350K,78370706000027.78,783707060.0,Q769040,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q769040,026374862,,05Q7A8A02,HTTPS://ROR.ORG/05Q7A8A02,0000 0001 2105 7899,HTTP://WWW.ISNI.ORG/0000 0001 2105 7899,1906,59512.0,ROUBAIX,UU59702,LILLE,D059,NORD,A09,LILLE,R32,HAUTS DE FRANCE,R31,NORD PAS DE CALAIS,24 AVENUE GUSTAVE DELORY,59057,ROUBAIX CEDEX 1,FRANCE,33320154500.0,ASSOCIATION LOI DE 1901,ASSOCIATION LOI DE 1901,HTTPS://WWW.FACEBOOK.COM/EDHEC,HTTPS://TWITTER.COM/EDHEC_BSCHOOL,,Https://www.linkedin.com/edu/edhec business school 19922,Https://www.youtube.com/user/edhecbschool,,A L,Ecole des hautes etudes commerciales du nord edhec business school edhec,59512.0
LFDJH,Ecole nationale superieure des sciences agronomiques de bordeaux aquitaine,BORDEAUX SCIENCES AGRO,BSA,ECOLE,PUBLIC,VAGUE B,Nouvelle aquitaine>bordeaux>gironde>bordeaux>gradignan,HTTPS://WWW.AGRO BORDEAUX.FR/,"44.792718, 0.608576",0330203S,19330203100011.0,193302031.0,Q3578255,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3578255,026374986,FR0043,00HAR9915,HTTPS://ROR.ORG/00HAR9915,0000 0001 0659 4135,HTTP://WWW.ISNI.ORG/0000 0001 0659 4135,1963 07 05,33192.0,GRADIGNAN,UU33701,BORDEAUX,D033,GIRONDE,A04,BORDEAUX,R75,NOUVELLE AQUITAINE,R72,AQUITAINE,1 COURS DU GENERAL DE GAULLE,33175,GRADIGNAN CEDEX,FRANCE,,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",HTTPS://WWW.FACEBOOK.COM/AGROBORDEAUX/,HTTPS://WWW.AGRO BORDEAUX.FR/,,Https://www.linkedin.com/school/bordeaux sciences agro/,Https://www.youtube.com/channel/ucqve8viwhfhf1iweahcuqzg,,A L,Ecole nationale superieure des sciences agronomiques de bordeaux aquitaine ecole nationale d ingenieurs des travaux agricoles de bordeaux bordeaux sciences agro enitab bsa,33192.0
X2D1F,ECOLE SUPERIEURE D’AGRICULTURE,ESA,ESA,ECOLE,PRIVE,VAGUE B,Pays de la loire>nantes>maine et loire>angers,HTTPS://WWW.GROUPE ESA.COM/,"47.458784, 0.543657",0490072M,34238263700011.0,342382637.0,Q3578375,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3578375,030341558,FR0096,02VB4K656,HTTPS://ROR.ORG/02VB4K656,0000 0001 2267 0943,HTTP://WWW.ISNI.ORG/0000 0001 2267 0943,1898,49007.0,ANGERS,UU49701,ANGERS,D049,MAINE ET LOIRE,A17,NANTES,R52,PAYS DE LA LOIRE,R52,PAYS DE LA LOIRE,55 RUE RABELAIS,49007,ANGERS CEDEX 01,FRANCE,,ASSOCIATION LOI DE 1901,ASSOCIATION LOI DE 1901,Https://www.facebook.com/groupeesa.angers.officiel,HTTPS://TWITTER.COM/GROUPE_ESA,,HTTPS://WWW.LINKEDIN.COM/SCHOOL/134403,Https://www.youtube.com/user/webmastergroupesa,Https://scanr.enseignementsup recherche.gouv.fr/entite/342382637,A L,Ecole superieure d’agriculture esa higher school of agriculture of angers,49007.0
3UM0Y,INSTITUT CATHOLIQUE DE LYON,UCLY,,ECOLE,PRIVE,,Auvergne rhone alpes>lyon>rhone>lyon>lyon 2e,HTTP://WWW.UCLY.FR/,"45.74658, 4.82637",0690195M,32693006200012.33,326930062.0,Q8618,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q8618,026525704,FR0156,01ANHJ553,HTTPS://ROR.ORG/01ANHJ553,,,1875,69382.0,LYON 2E,UU00760,LYON,D069,RHONE,A10,LYON,R84,AUVERGNE RHONE ALPES,R82,RHONE ALPES,10 PLACE DES ARCHIVES,69002,LYON,FRANCE,,ASSOCIATION LOI DE 1901,ASSOCIATION LOI DE 1901,HTTPS://WWW.FACEBOOK.COM/UCLYON/,HTTPS://TWITTER.COM/UCLY,,HTTPS://WWW.LINKEDIN.COM/GROUPS/2517011/,HTTPS://WWW.YOUTUBE.COM/USER/UCLYON,Https://scanr.enseignementsup recherche.gouv.fr/entite/326930062,A L,Institut catholique de lyon ucly catholic university of lyon,69382.0
